Date,Day,Week,Exercise,Read,Meditate,Drink Water,Sleep 8h,No Sugar,Journal,Study,Daily Completion Count,Daily Completion %,Notes
2026-06-01,Monday,=WEEKNUM(A2),1,1,0,1,1,0,1,1,=SUM(D2:K2),=L2/8,"Good start to the month"
2026-06-02,Tuesday,=WEEKNUM(A3),1,0,1,1,0,1,1,1,=SUM(D3:K3),=L3/8,"Felt tired but stayed consistent"
2026-06-03,Wednesday,=WEEKNUM(A4),0,1,1,1,1,1,0,1,=SUM(D4:K4),=L4/8,"Need to improve exercise consistency"
2026-06-04,Thursday,=WEEKNUM(A5),1,1,1,1,0,0,1,1,=SUM(D5:K5),=L5/8,"Good focus day"
2026-06-05,Friday,=WEEKNUM(A6),1,0,0,1,1,1,1,0,=SUM(D6:K6),=L6/8,"Social day, less study"
2026-06-06,Saturday,=WEEKNUM(A7),0,1,1,0,1,0,1,1,=SUM(D7:K7),=L7/8,"Relaxed but mindful"
2026-06-07,Sunday,=WEEKNUM(A8),1,1,1,1,1,1,1,1,=SUM(D8:K8),=L8/8,"Excellent day"
2026-06-08,Monday,=WEEKNUM(A9),,,,,,,,,=SUM(D9:K9),=IF(COUNTA(D9:K9)=0,"",L9/8),""
2026-06-09,Tuesday,=WEEKNUM(A10),,,,,,,,,=SUM(D10:K10),=IF(COUNTA(D10:K10)=0,"",L10/8),""
2026-06-10,Wednesday,=WEEKNUM(A11),,,,,,,,,=SUM(D11:K11),=IF(COUNTA(D11:K11)=0,"",L11/8),""
2026-06-11,Thursday,=WEEKNUM(A12),,,,,,,,,=SUM(D12:K12),=IF(COUNTA(D12:K12)=0,"",L12/8),""
2026-06-12,Friday,=WEEKNUM(A13),,,,,,,,,=SUM(D13:K13),=IF(COUNTA(D13:K13)=0,"",L13/8),""
2026-06-13,Saturday,=WEEKNUM(A14),,,,,,,,,=SUM(D14:K14),=IF(COUNTA(D14:K14)=0,"",L14/8),""
2026-06-14,Sunday,=WEEKNUM(A15),,,,,,,,,=SUM(D15:K15),=IF(COUNTA(D15:K15)=0,"",L15/8),""
2026-06-15,Monday,=WEEKNUM(A16),,,,,,,,,=SUM(D16:K16),=IF(COUNTA(D16:K16)=0,"",L16/8),""
2026-06-16,Tuesday,=WEEKNUM(A17),,,,,,,,,=SUM(D17:K17),=IF(COUNTA(D17:K17)=0,"",L17/8),""
2026-06-17,Wednesday,=WEEKNUM(A18),,,,,,,,,=SUM(D18:K18),=IF(COUNTA(D18:K18)=0,"",L18/8),""
2026-06-18,Thursday,=WEEKNUM(A19),,,,,,,,,=SUM(D19:K19),=IF(COUNTA(D19:K19)=0,"",L19/8),""
2026-06-19,Friday,=WEEKNUM(A20),,,,,,,,,=SUM(D20:K20),=IF(COUNTA(D20:K20)=0,"",L20/8),""
2026-06-20,Saturday,=WEEKNUM(A21),,,,,,,,,=SUM(D21:K21),=IF(COUNTA(D21:K21)=0,"",L21/8),""
2026-06-21,Sunday,=WEEKNUM(A22),,,,,,,,,=SUM(D22:K22),=IF(COUNTA(D22:K22)=0,"",L22/8),""
2026-06-22,Monday,=WEEKNUM(A23),,,,,,,,,=SUM(D23:K23),=IF(COUNTA(D23:K23)=0,"",L23/8),""
2026-06-23,Tuesday,=WEEKNUM(A24),,,,,,,,,=SUM(D24:K24),=IF(COUNTA(D24:K24)=0,"",L24/8),""
2026-06-24,Wednesday,=WEEKNUM(A25),,,,,,,,,=SUM(D25:K25),=IF(COUNTA(D25:K25)=0,"",L25/8),""
2026-06-25,Thursday,=WEEKNUM(A26),,,,,,,,,=SUM(D26:K26),=IF(COUNTA(D26:K26)=0,"",L26/8),""
2026-06-26,Friday,=WEEKNUM(A27),,,,,,,,,=SUM(D27:K27),=IF(COUNTA(D27:K27)=0,"",L27/8),""
2026-06-27,Saturday,=WEEKNUM(A28),,,,,,,,,=SUM(D28:K28),=IF(COUNTA(D28:K28)=0,"",L28/8),""
2026-06-28,Sunday,=WEEKNUM(A29),,,,,,,,,=SUM(D29:K29),=IF(COUNTA(D29:K29)=0,"",L29/8),""
2026-06-29,Monday,=WEEKNUM(A30),,,,,,,,,=SUM(D30:K30),=IF(COUNTA(D30:K30)=0,"",L30/8),""
2026-06-30,Tuesday,=WEEKNUM(A31),,,,,,,,,=SUM(D31:K31),=IF(COUNTA(D31:K31)=0,"",L31/8),""
